model,no_think,pass,total,accuracy_pct,min_ms,p50_ms,p95_ms,max_ms,mean_ms
qwen3:4b,0,33,33,100,2064,4030,9094,13460,4806
qwen3:4b,1,33,33,100,2843,4995,12241,15741,5993
qwen3:8b,0,33,33,100,1509,2865,5851,5875,3024
qwen3:8b,1,33,33,100,1503,2666,5102,6309,3059
qwen3:8b-128k,0,33,33,100,1626,2901,4424,5576,3036
qwen3:8b-128k,1,33,33,100,1533,2675,5648,6006,3177
qwen3:14b-64k,0,33,33,100,2799,4349,7814,8226,4580
qwen3:14b-64k,1,33,33,100,2857,4148,8634,11516,4691
qwen3.5:9b,0,33,33,100,2185,3182,4301,4327,3221
qwen3.5:9b,1,33,33,100,2583,3309,3942,3951,3309
qwen3.5:9b-64k,0,33,33,100,2191,3160,4108,4131,3235
qwen3.5:9b-64k,1,33,33,100,2191,3317,4155,4285,3262
qwen3.6:latest,0,33,33,100,15530,26087,38354,49910,26732
qwen3.6:latest,1,33,33,100,15953,29289,43122,56211,29653
qwen3:8b-q8_0,0,33,33,100,2709,3948,10349,13499,4976
qwen3:8b-q8_0,1,33,33,100,2778,3963,7079,7728,4279
qwen3:14b-q4_K_M,0,33,33,100,2603,4348,8494,9236,4790
qwen3:14b-q4_K_M,1,33,33,100,2885,4254,8684,13943,4640
gemma4:latest,0,33,33,100,561,1587,6405,6956,2237
gemma4:16k,0,33,33,100,545,1637,6242,6278,2261
hf.co/unsloth/gemma-4-26B-A4B-it-GGUF:UD-Q4_K_M,0,,,ERROR,,,,,
gemma3:4b,0,,,ERROR,,,,,
gemma3:12b,0,,,ERROR,,,,,
nemotron-3-nano:4b,0,33,33,100,1188,1839,2416,2567,1880
nemotron-3-nano:4b,1,32,33,97,1497,1921,3958,4278,2189
nemotron-mini:latest,0,7,33,21,273,453,1596,1911,584
nemotron-mini:latest,1,5,33,15,293,435,751,755,495
granite4:latest,0,33,33,100,328,572,649,680,539
granite4:latest,1,33,33,100,392,570,654,667,551
granite3.3:8b,0,0,33,0,421,746,2380,4712,986
granite3.3:8b,1,0,33,0,434,726,1916,2262,908
mistral:7b,0,0,33,0,310,872,2724,4629,1058
phi4-mini:latest,0,0,33,0,604,1217,4290,5389,1611
phi4:latest,0,,,ERROR,,,,,
phi4-reasoning:latest,0,,,ERROR,,,,,
phi3:latest,0,,,ERROR,,,,,
