model,cases,facts_pct,clean_pct,attrib_pct,nonempty_pct,p50_ms,mean_ms
granite4:latest,6,100,100,83,100,1395,1640
granite3.3:8b,6,100,100,100,100,2937,3180
qwen3.5:9b,6,100,100,100,100,37550,37327
qwen3.5:9b-64k,6,100,100,100,100,33254,44473
qwen3:8b,6,100,83,100,100,5831,6909
qwen3:14b-64k,6,100,83,100,100,10076,11479
qwen3:4b,6,100,100,100,100,10728,13479
gemma4:latest,6,100,100,100,100,9248,8541
gemma4:16k,6,100,100,100,100,8795,8362
gemma3:4b,6,100,100,100,100,1506,1654
gemma3:12b,6,100,100,100,100,2883,3198
nemotron-3-nano:4b,6,67,100,67,83,3321,5168
mistral:7b,6,100,100,67,100,2266,2288
phi4-mini:latest,6,100,100,83,100,1579,2219
phi4:latest,6,100,100,100,100,3999,4170
phi3:latest,6,100,83,50,100,1597,1607
llama3.1:8b,6,100,100,100,100,2264,2317
